topic_id	word_rank	word	score
0	1	rapid	0.013279844371261802
0	2	fasher	0.01104915034305585
0	3	el	0.010850707771655243
0	4	army	0.009544288954546579
0	5	artillery	0.009093094410605171
0	6	forces	0.008870111541417973
0	7	city	0.008820608397159627
0	8	tribune	0.008785159146274068
0	9	camp	0.00859618972334453
0	10	killed	0.008453295466971648
0	11	darfur	0.008422118330649778
0	12	north	0.007615728363924951
1	1	students	0.02815235090231362
1	2	education	0.02714181099729995
1	3	exams	0.021637157686937008
1	4	school	0.020283048886765735
1	5	certificate	0.01902833103956731
1	6	schools	0.014601510055876532
1	7	university	0.012660913526259051
1	8	teachers	0.012135268791686506
1	9	secondary	0.011450753201835643
1	10	educational	0.011113350345018602
1	11	student	0.010256289259695163
1	12	universities	0.009340582783202933
2	1	humanitarian	0.021326998689098955
2	2	aid	0.019708185014408703
2	3	food	0.015745066198946348
2	4	famine	0.01444757491889793
2	5	million	0.013133808732841748
2	6	nations	0.012277682705782975
2	7	united	0.011929484520238252
2	8	hunger	0.011287797205660728
2	9	children	0.011132215435621559
2	10	malnutrition	0.009155574418610977
2	11	relief	0.0079587514305026
2	12	unicef	0.00792802155929003
3	1	almerreikh	0.02622269685673108
3	2	alhilal	0.024572770828838096
3	3	sports	0.02444987133232632
3	4	stadium	0.02288236385449985
3	5	league	0.02173937383935237
3	6	hilal	0.02145162691512662
3	7	cup	0.018903742916633035
3	8	football	0.017728620584200484
3	9	team	0.01715642758331604
3	10	match	0.016684227265900735
3	11	defeats	0.012908737497290837
3	12	mars	0.01148308743217848
4	1	iran	0.017432645883642045
4	2	saudi	0.01683758802009582
4	3	qatari	0.016699857064560304
4	4	arabia	0.016050656453825318
4	5	qatar	0.014401831792583914
4	6	iranian	0.014300688789988442
4	7	yemen	0.01394752719290249
4	8	syria	0.013305012092510962
4	9	bin	0.012877068443615542
4	10	yemeni	0.012712015820460353
4	11	highness	0.012084086215351784
4	12	prince	0.010180956787186198
5	1	newspaper	0.020504404903302156
5	2	headlines	0.011663227281997281
5	3	newspapers	0.011315481763494856
5	4	alintibaha	0.008373253732481946
5	5	political	0.008016543305502877
5	6	alsudani	0.007519952874179239
5	7	akhbar	0.006754456999526762
5	8	alwatan	0.006631511158870788
5	9	alsayha	0.006520738498571437
5	10	alyoum	0.006195338192051665
5	11	prominent	0.006042947375062974
5	12	ad	0.006036588166241953
6	1	ethiopian	0.05247409941941554
6	2	ethiopia	0.03370716038112931
6	3	border	0.021587796943954643
6	4	tigray	0.01934150064849308
6	5	addis	0.0180513854176546
6	6	ababa	0.015698375014259205
6	7	eritrea	0.0156280259137959
6	8	eritrean	0.012053962467116411
6	9	alqalabat	0.011727014980640797
6	10	abiy	0.011662670092622647
6	11	crossing	0.009461349580469553
6	12	region	0.008473102609307497
7	1	cholera	0.054266306667682104
7	2	cases	0.04367840830687521
7	3	fever	0.02283488474047822
