Topic	Words	Size	x	y
0	health | doctors | malnutrition | disease | hospital	132	1.2055026292800903	5.921675682067871
1	rapid | fasher | el | artillery | shelling	89	-15.713196754455566	2.740084171295166
2	darfur | humanitarian | north | south | hunger	85	1.1560207605361938	6.089908599853516
3	gaza | bombing | raid | yunis | tents	81	-15.802038192749023	2.8290016651153564
4	khartoum | omdurman | sennar | homes | electricity	75	13.903327941894531	14.194199562072754
5	chad | libya | tragic | kufra | live	72	1.0056358575820923	6.785134315490723
6	boat | migrants | coast | migrant | tunisia	71	-3.827402353286743	11.434905052185059
7	schools | students | education | university | school	71	13.902605056762695	14.388362884521484
8	nations | united | warns | conflict | calls	69	-4.222213268280029	10.266610145568848
9	ethiopia | ethiopian | forests | olala | rights	63	1.0398658514022827	6.964926719665527
10	women | sexual | rape | violence | raped	62	1.4759795665740967	5.71453332901001
11	chad | uae | visits | delegation | chadian	62	-4.080327987670898	10.229192733764648
12	army | clashes | kordofan | battles | result	58	8.163409233093262	-5.591536045074463
13	trafficking | human | network | victims | police	52	1.5306220054626465	5.54775333404541
14	immigration | illegal | european | union | asylum	46	-3.879256010055542	11.813146591186523
15	unhcr | commissioner | high | influx | protection	39	1.1019834280014038	6.862238883972168
16	expatriates | kuwait | violators | hajj | deporting	37	0.26465681195259094	16.915311813354492
17	diaspora | freedom | revolution | arabs | change	34	5.394324779510498	13.659775733947754
18	locality | el | marra | jebel | fasher	33	8.915190696716309	-11.486430168151855
19	ramadan | eid | zakat | prices | aladha	33	-15.342020034790039	2.369614362716675
20	egyptian | deports | public | deport | deported	32	0.015538918785750866	17.0745849609375
21	registered | draft | egyptian | nationality | incitement	32	0.3693757653236389	17.42768669128418
22	millions | reaches | hate | hell | sudans	31	7.984496116638184	-5.810730934143066
23	migration | 10 | population | internal | organization	30	1.8837435245513916	7.53590202331543
24	watch | video | famous | dance | surprises	28	13.438097953796387	13.77166748046875
25	unicef | children | child | largest | world	27	1.0734107494354248	6.115906238555908
26	border | crossing | sovereignty | customs | crossings	26	-0.343641996383667	16.68132972717285
27	watch | video | photo | girl | girls	23	13.541977882385254	13.839447975158691
28	marginalization | muhammad | mahmoud | issues | written	23	5.391735553741455	13.660709381103516
29	rains | floods | island | waves | heavy	22	8.97862434387207	-11.422500610351562
30	internally | statistics | quarter | record | reports	22	1.619930624961853	7.362671852111816
31	passports | administration | general | immigration | expatriates	22	-0.2546985447406769	16.769838333129883
32	khartoum | battle | marches | expropriation | lands	20	13.708219528198242	14.368509292602539
33	immigrants | biden | immigration | threatens | absorb	19	-4.060385227203369	12.19639778137207
34	organization | migration | dongola | assistance | distribute	19	1.9444754123687744	7.590167999267578
35	libya | libyan | accident | kufra | traffic	19	-3.9200751781463623	11.2578706741333
36	rights | stop | human | deporting | authorities	18	0.23428235948085785	16.848751068115234
37	bank | money | prohibits | billion | central	18	-3.5424423217773438	9.959036827087402
38	distribute | pictures | volunteers | fasher | el	17	8.883102416992188	-11.518275260925293
39	syrian | lebanon | issue | lebanese | elections	17	0.48886632919311523	17.404687881469727
40	uganda | integration | difficulties | complain | despite	17	1.2072527408599854	7.003100872039795
41	armed | attack | ethiopia | ethiopian | stuck	16	8.290739059448242	-5.458683967590332
42	alburhan | siege | reception | protest | use	15	-15.481431007385254	2.5086796283721924
43	immigration | illegal | economy | immigrants | causes	15	-3.957589864730835	12.060233116149902
44	painful | confronting | tragedy | issues | systematic	14	7.802751064300537	-5.998684883117676
45	increased | half | result | holocaust | 58	14	7.866034507751465	-5.935689926147461
46	migration | carrying | african | season | marra	13	14.332535743713379	14.617046356201172
47	wave | residents | fasher | el | east	11	9.236703872680664	-11.165167808532715
48	dollars | 16 | pounds | agency | libya	11	-3.7668797969818115	10.054722785949707
49	food | chad | stop | aid | suffer	10	-4.365720272064209	10.093487739562988
50	governor | urgent | visit | need | darfur	10	-4.023605823516846	10.577957153320312
51	battles | nyala | civilians | coexistence | dangerous	10	8.367167472839355	-5.381063938140869
52	border | crossing | accuses | ignoring | ndjamena	10	-4.380795478820801	10.548229217529297
53	nile | blue | returnees | white | arrival	10	14.304615020751953	14.437934875488281
