Parent_ID	Parent_Name	Topics	Child_Left_ID	Child_Left_Name	Child_Right_ID	Child_Right_Name	Distance	display_label	label_status
106	al_chad_camp_darfur_ethiopia	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]	103	al_chad_fasher_el_darfur	105	al_ethiopia_human_united_nations	1.532911476775784	Al · Chad · Camp · Darfur · Ethiopia	needs_review
105	al_ethiopia_human_united_nations	[3, 4, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 48, 52, 53]	104	al_ethiopia_nations_united_migration	102	immigration_al_human_trafficking_migrants	1.3629144281496144	Al · Ethiopia · Human · United · Nations	needs_review
104	al_ethiopia_nations_united_migration	[3, 4, 7, 8, 9, 10, 15, 17, 19, 22, 23, 25, 28, 30, 32, 34, 35, 37, 39, 40, 41, 44, 45, 46, 48, 53]	100	al_ethiopia_nations_united_gaza	72	migration_organization_10_population_carrying	1.3044072762318284	Al · Ethiopia · Nations · United · Migration	needs_review
103	al_chad_fasher_el_darfur	[0, 1, 2, 5, 11, 12, 18, 29, 38, 42, 47, 49, 50, 51]	69	al_rapid_fasher_el_army	95	chad_al_health_darfur_humanitarian	1.2666444395998453	Al · Chad · Fasher · El · Darfur	needs_review
102	immigration_al_human_trafficking_migrants	[6, 13, 14, 16, 20, 21, 24, 26, 27, 31, 33, 36, 43, 52]	77	boat_migrants_immigration_coast_tunisia	101	al_trafficking_human_watch_video	1.2632603714209598	Immigration · Al · Human · Trafficking · Migrants	needs_review
101	al_trafficking_human_watch_video	[13, 16, 20, 21, 24, 26, 27, 31, 36, 52]	57	border_crossing_customs_adre_crossings	98	trafficking_human_watch_al_video	1.2210342706721709	Al · Trafficking · Human · Watch · Video	needs_review
100	al_ethiopia_nations_united_gaza	[3, 4, 7, 8, 9, 10, 15, 17, 19, 22, 25, 28, 30, 32, 35, 37, 39, 40, 41, 44, 45, 48, 53]	97	al_gaza_women_diaspora_schools	99	ethiopia_nations_united_ethiopian_unhcr	1.203355389863478	Al · Ethiopia · Nations · United · Gaza	needs_review
99	ethiopia_nations_united_ethiopian_unhcr	[8, 9, 15, 22, 25, 30, 41]	91	nations_united_unicef_unhcr_children	58	ethiopia_ethiopian_olala_armed_forests	1.1566648456560782	Ethiopia · Nations · United · Ethiopian · Unhcr	needs_review
98	trafficking_human_watch_al_video	[13, 16, 20, 21, 24, 27, 31, 36]	92	trafficking_human_al_egyptian_expatriates	54	watch_video_photo_followers_saudi	1.1514088540450396	Trafficking · Human · Watch · Al · Video	needs_review
97	al_gaza_women_diaspora_schools	[3, 4, 7, 10, 17, 19, 28, 32, 35, 37, 39, 40, 44, 45, 48, 53]	96	gaza_women_al_diaspora_marginalization	85	schools_students_khartoum_nile_education	1.1270922357504707	Al · Gaza · Women · Diaspora · Schools	needs_review
